https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AXS,Volume USDT,tradecount
1649980800000,2022-04-15 00:00:00,AXS/USDT,46.78000000,50.19000000,46.71000000,47.92000000,723758.26000000,34737486.74690000,96924
1649894400000,2022-04-14 00:00:00,AXS/USDT,48.46000000,49.55000000,45.69000000,46.78000000,817002.58000000,39033863.64970000,99217
1649808000000,2022-04-13 00:00:00,AXS/USDT,47.27000000,48.93000000,46.61000000,48.47000000,726026.73000000,34805155.38240000,90797
1649721600000,2022-04-12 00:00:00,AXS/USDT,45.15000000,48.91000000,44.81000000,47.26000000,1069526.08000000,50416237.47260000,147414
1649635200000,2022-04-11 00:00:00,AXS/USDT,49.04000000,49.13000000,44.08000000,45.16000000,1331249.65000000,61887856.33910000,172264
1649548800000,2022-04-10 00:00:00,AXS/USDT,51.72000000,52.14000000,48.85000000,49.04000000,907237.50000000,45933802.38420000,95538
1649462400000,2022-04-09 00:00:00,AXS/USDT,50.71000000,52.66000000,50.57000000,51.71000000,619059.71000000,31851724.23490000,85488
1649376000000,2022-04-08 00:00:00,AXS/USDT,54.80000000,55.32000000,50.11000000,50.70000000,1007727.20000000,53699915.79090000,129727
1649289600000,2022-04-07 00:00:00,AXS/USDT,53.36000000,56.00000000,52.13000000,54.82000000,1199369.36000000,65042109.55080000,152537
1649203200000,2022-04-06 00:00:00,AXS/USDT,61.69000000,62.90000000,53.11000000,53.37000000,2387854.27000000,139250996.26820000,360745
1649116800000,2022-04-05 00:00:00,AXS/USDT,63.80000000,65.99000000,61.50000000,61.68000000,1221634.74000000,77348931.67860000,157688
1649030400000,2022-04-04 00:00:00,AXS/USDT,66.61000000,67.15000000,61.45000000,63.79000000,1271790.45000000,81784017.78730000,181810
1648944000000,2022-04-03 00:00:00,AXS/USDT,65.25000000,68.47000000,64.00000000,66.61000000,1511876.84000000,100353144.53870000,213901
1648857600000,2022-04-02 00:00:00,AXS/USDT,66.16000000,75.55000000,64.05000000,65.26000000,3032156.30000000,212530681.24950000,462390
1648771200000,2022-04-01 00:00:00,AXS/USDT,63.47000000,67.40000000,60.30000000,66.15000000,1152615.63000000,73517932.38440000,163758
1648684800000,2022-03-31 00:00:00,AXS/USDT,64.39000000,68.70000000,62.00000000,63.46000000,1388904.84000000,90355148.29960000,199722
1648598400000,2022-03-30 00:00:00,AXS/USDT,64.36000000,66.73000000,61.92000000,64.39000000,1705721.49000000,110136957.14760000,234564
1648512000000,2022-03-29 00:00:00,AXS/USDT,66.43000000,70.85000000,63.12000000,64.35000000,2391620.63000000,159706968.69020000,320882
1648425600000,2022-03-28 00:00:00,AXS/USDT,68.26000000,72.29000000,65.65000000,66.44000000,1803278.67000000,123970878.67960000,252080
1648339200000,2022-03-27 00:00:00,AXS/USDT,66.94000000,68.50000000,64.49000000,68.26000000,1356211.86000000,90016559.93150000,185668
1648252800000,2022-03-26 00:00:00,AXS/USDT,71.55000000,72.98000000,66.39000000,66.94000000,1123008.60000000,77064625.51460000,174214
1648166400000,2022-03-25 00:00:00,AXS/USDT,70.31000000,74.85000000,69.46000000,71.53000000,2674196.88000000,192178066.36150000,436918
1648080000000,2022-03-24 00:00:00,AXS/USDT,58.34000000,71.80000000,58.32000000,70.30000000,3201686.90000000,207381817.24360000,551645
1647993600000,2022-03-23 00:00:00,AXS/USDT,52.43000000,58.59000000,50.81000000,58.34000000,1101254.65000000,60533017.39260000,168361
1647907200000,2022-03-22 00:00:00,AXS/USDT,50.16000000,53.48000000,49.79000000,52.42000000,635919.68000000,33011966.25420000,93866
1647820800000,2022-03-21 00:00:00,AXS/USDT,49.85000000,51.94000000,49.16000000,50.16000000,463749.57000000,23407619.05960000,68491
1647734400000,2022-03-20 00:00:00,AXS/USDT,52.05000000,52.55000000,49.13000000,49.85000000,422106.71000000,21473379.73610000,68100
1647648000000,2022-03-19 00:00:00,AXS/USDT,50.47000000,54.45000000,50.18000000,52.05000000,589465.04000000,30709600.62990000,91587
1647561600000,2022-03-18 00:00:00,AXS/USDT,50.25000000,51.44000000,48.51000000,50.46000000,452645.60000000,22532444.23280000,70609
1647475200000,2022-03-17 00:00:00,AXS/USDT,50.43000000,51.29000000,49.38000000,50.26000000,487729.05000000,24555307.53330000,87121
1647388800000,2022-03-16 00:00:00,AXS/USDT,46.90000000,50.87000000,46.30000000,50.42000000,800926.53000000,38941896.26800000,124742
