https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BAT,Volume USDT,tradecount
1642723200000,2022-01-21 00:00:00,BAT/USDT,0.9074,0.9275,0.7778,0.8079,71132111.0,61212284.91221,250092
1642636800000,2022-01-20 00:00:00,BAT/USDT,0.9548,1.0071,0.9043,0.9077,38893442.5,37577847.87823,154809
1642550400000,2022-01-19 00:00:00,BAT/USDT,1.0029,1.0064,0.9456,0.9550,38102594.1,37108371.19270,137960
1642464000000,2022-01-18 00:00:00,BAT/USDT,1.0131,1.0283,0.9700,1.0026,36376653.7,36156039.60103,143170
1642377600000,2022-01-17 00:00:00,BAT/USDT,1.0565,1.0610,0.9952,1.0131,31489966.7,32239321.93667,140396
1642291200000,2022-01-16 00:00:00,BAT/USDT,1.0617,1.0743,1.0357,1.0564,29019092.4,30612483.24651,128499
1642204800000,2022-01-15 00:00:00,BAT/USDT,1.0547,1.0833,1.0376,1.0621,24700649.3,26196308.16251,111489
1642118400000,2022-01-14 00:00:00,BAT/USDT,1.0377,1.0709,1.0105,1.0546,30143316.8,31422229.03574,120622
1642032000000,2022-01-13 00:00:00,BAT/USDT,1.1148,1.1212,1.0305,1.0372,36718826.8,39642931.68495,151751
1641945600000,2022-01-12 00:00:00,BAT/USDT,1.0557,1.1199,1.0472,1.1145,37608040.5,40963653.47715,164359
1641859200000,2022-01-11 00:00:00,BAT/USDT,0.9970,1.0617,0.9866,1.0557,41858920.5,42931256.38744,165601
1641772800000,2022-01-10 00:00:00,BAT/USDT,1.0330,1.0448,0.9374,0.9970,53907900.5,53344786.28371,187813
1641686400000,2022-01-09 00:00:00,BAT/USDT,1.0186,1.0560,0.9976,1.0330,40758975.0,41898356.14656,162573
1641600000000,2022-01-08 00:00:00,BAT/USDT,1.0759,1.1010,0.9858,1.0185,60854585.5,63607687.63191,231770
1641513600000,2022-01-07 00:00:00,BAT/USDT,1.1825,1.1890,1.0372,1.0759,90082516.1,98129790.90017,341045
1641427200000,2022-01-06 00:00:00,BAT/USDT,1.1754,1.1946,1.1064,1.1824,69125468.6,79879118.71449,258452
1641340800000,2022-01-05 00:00:00,BAT/USDT,1.2822,1.3349,1.1195,1.1752,77048617.0,97482106.35626,303033
1641254400000,2022-01-04 00:00:00,BAT/USDT,1.3003,1.3638,1.2486,1.2823,67903411.2,89154252.58891,301173
1641168000000,2022-01-03 00:00:00,BAT/USDT,1.2988,1.3441,1.2537,1.3003,63490988.1,82535989.11533,284410
1641081600000,2022-01-02 00:00:00,BAT/USDT,1.2554,1.3469,1.2208,1.2993,62406907.5,80478306.62676,281264
1640995200000,2022-01-01 00:00:00,BAT/USDT,1.2043,1.2640,1.2038,1.2554,38517455.8,47592058.16969,191848
1640908800000,2021-12-31 00:00:00,BAT/USDT,1.1873,1.2736,1.1774,1.2042,67293848.3,82670332.84681,264442
1640822400000,2021-12-30 00:00:00,BAT/USDT,1.1517,1.2400,1.1110,1.1873,75836741.2,90074830.02634,271234
1640736000000,2021-12-29 00:00:00,BAT/USDT,1.2187,1.2463,1.1352,1.1518,66544633.0,79388965.14467,252977
1640649600000,2021-12-28 00:00:00,BAT/USDT,1.3808,1.3809,1.2083,1.2188,67551551.6,87097716.28929,277491
1640563200000,2021-12-27 00:00:00,BAT/USDT,1.3357,1.4539,1.3356,1.3809,70270858.2,97959445.19536,280519
1640476800000,2021-12-26 00:00:00,BAT/USDT,1.3360,1.3639,1.2800,1.3359,35511805.7,46712087.43945,158504
1640390400000,2021-12-25 00:00:00,BAT/USDT,1.3140,1.3917,1.3011,1.3362,48023901.4,64650081.93857,224936
1640304000000,2021-12-24 00:00:00,BAT/USDT,1.3420,1.3780,1.2870,1.3135,66313698.0,88403145.41828,278537
1640217600000,2021-12-23 00:00:00,BAT/USDT,1.1862,1.3433,1.1755,1.3420,78900952.2,99466359.77039,317485
1640131200000,2021-12-22 00:00:00,BAT/USDT,1.1647,1.2309,1.1465,1.1862,62155549.1,74193649.37263,231440
1640044800000,2021-12-21 00:00:00,BAT/USDT,1.1064,1.1800,1.0852,1.1648,55330363.2,63378685.11919,220417
1639958400000,2021-12-20 00:00:00,BAT/USDT,1.1320,1.1595,1.0439,1.1063,59381307.7,64800006.50477,238529
1639872000000,2021-12-19 00:00:00,BAT/USDT,1.1758,1.2015,1.1168,1.1320,43338128.9,50258650.40655,174432
1639785600000,2021-12-18 00:00:00,BAT/USDT,1.1485,1.2120,1.1038,1.1756,65971964.5,76985109.45596,264017
1639699200000,2021-12-17 00:00:00,BAT/USDT,1.1312,1.1945,1.0565,1.1480,79449113.9,89821536.64471,311171
1639612800000,2021-12-16 00:00:00,BAT/USDT,1.1164,1.2382,1.1126,1.1310,100172289.2,117864089.56561,371234
1639526400000,2021-12-15 00:00:00,BAT/USDT,1.0655,1.1408,0.9845,1.1164,74064617.2,78573800.79038,264820
1639440000000,2021-12-14 00:00:00,BAT/USDT,1.0293,1.0783,0.9961,1.0657,70059909.9,72915385.77364,259392
1639353600000,2021-12-13 00:00:00,BAT/USDT,1.1989,1.2028,1.0131,1.0287,77877592.5,84960625.06548,288709
1639267200000,2021-12-12 00:00:00,BAT/USDT,1.1476,1.2213,1.0956,1.1987,76745524.5,88983967.86777,304363
1639180800000,2021-12-11 00:00:00,BAT/USDT,1.0639,1.1485,1.0289,1.1477,61909598.2,67974669.83988,236840
1639094400000,2021-12-10 00:00:00,BAT/USDT,1.1384,1.1984,1.0622,1.0641,83951592.1,94886624.94552,326080
1639008000000,2021-12-09 00:00:00,BAT/USDT,1.3013,1.3149,1.1350,1.1386,72440105.9,87939319.23650,309408
1638921600000,2021-12-08 00:00:00,BAT/USDT,1.3253,1.3570,1.2158,1.3012,88438425.4,113396561.82163,381445
1638835200000,2021-12-07 00:00:00,BAT/USDT,1.3590,1.4076,1.2946,1.3256,144354271.9,194802820.78421,580886
1638748800000,2021-12-06 00:00:00,BAT/USDT,1.1664,1.3773,1.1092,1.3590,424725438.2,520123231.52012,1338302
1638662400000,2021-12-05 00:00:00,BAT/USDT,1.1255,1.2296,1.0446,1.1660,220579965.4,255627302.26742,762651
1638576000000,2021-12-04 00:00:00,BAT/USDT,1.2821,1.2842,0.8589,1.1254,169496417.5,182406103.05503,593257
1638489600000,2021-12-03 00:00:00,BAT/USDT,1.4288,1.4325,1.2192,1.2819,78405568.2,105402488.17106,372082
1638403200000,2021-12-02 00:00:00,BAT/USDT,1.4932,1.5225,1.3767,1.4288,81863569.6,116973335.27681,391511
1638316800000,2021-12-01 00:00:00,BAT/USDT,1.4589,1.6414,1.4458,1.4930,156197086.9,242296542.56733,664736
1638230400000,2021-11-30 00:00:00,BAT/USDT,1.6146,1.6190,1.4410,1.4585,111896083.1,168445874.49583,507243
1638144000000,2021-11-29 00:00:00,BAT/USDT,1.6562,1.7144,1.5345,1.6143,146635456.5,236249052.03764,658715
1638057600000,2021-11-28 00:00:00,BAT/USDT,1.7656,1.9300,1.5013,1.6556,444938396.9,748827672.89874,1753677
1637971200000,2021-11-27 00:00:00,BAT/USDT,1.3379,1.8268,1.3376,1.7655,487148382.3,785914121.31355,1983958
1637884800000,2021-11-26 00:00:00,BAT/USDT,1.4226,1.8650,1.3234,1.3382,822253905.9,1325021721.11708,3139855
1637798400000,2021-11-25 00:00:00,BAT/USDT,1.1290,1.4523,1.1167,1.4217,389429580.1,516199418.10307,1485226
1637712000000,2021-11-24 00:00:00,BAT/USDT,1.0660,1.1406,1.0242,1.1294,76810878.9,81720947.30126,328361
1637625600000,2021-11-23 00:00:00,BAT/USDT,1.0391,1.0688,1.0004,1.0659,39238278.8,40519478.24782,196222
1637539200000,2021-11-22 00:00:00,BAT/USDT,1.0735,1.0810,1.0116,1.0391,51700486.8,54207523.91442,241622
1637452800000,2021-11-21 00:00:00,BAT/USDT,1.1101,1.1189,1.0555,1.0733,38122602.3,41391307.95461,197873
1637366400000,2021-11-20 00:00:00,BAT/USDT,1.1242,1.1582,1.0605,1.1095,75013160.3,83696441.62992,290267
1637280000000,2021-11-19 00:00:00,BAT/USDT,0.9785,1.1458,0.9639,1.1248,118124831.2,127395202.95002,453642
1637193600000,2021-11-18 00:00:00,BAT/USDT,1.0651,1.0808,0.9504,0.9777,73573986.6,74624006.12411,279342
1637107200000,2021-11-17 00:00:00,BAT/USDT,1.0634,1.1387,1.0467,1.0652,84064243.3,91124935.08648,333883
