https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume COMP,Volume USDT,tradecount
1646697600000,2022-03-08 00:00:00,COMP/USDT,101.30000000,107.60000000,100.40000000,104.20000000,36730.85900000,3831343.64940000,18257
1646611200000,2022-03-07 00:00:00,COMP/USDT,101.10000000,106.30000000,97.60000000,101.20000000,34956.24900000,3539977.58440000,19995
1646524800000,2022-03-06 00:00:00,COMP/USDT,109.70000000,110.40000000,100.80000000,101.10000000,35740.38400000,3755938.45180000,17183
1646438400000,2022-03-05 00:00:00,COMP/USDT,108.70000000,110.60000000,105.40000000,109.70000000,20070.34500000,2168030.69190000,12238
1646352000000,2022-03-04 00:00:00,COMP/USDT,117.20000000,117.60000000,107.10000000,108.60000000,36923.85500000,4184119.95570000,22491
1646265600000,2022-03-03 00:00:00,COMP/USDT,120.70000000,122.90000000,115.70000000,117.30000000,32994.95700000,3940779.69650000,20831
1646179200000,2022-03-02 00:00:00,COMP/USDT,125.70000000,126.90000000,119.50000000,120.80000000,49169.70400000,6046477.79910000,29049
1646092800000,2022-03-01 00:00:00,COMP/USDT,121.10000000,128.30000000,117.50000000,125.70000000,69070.04100000,8484797.31730000,36787
1646006400000,2022-02-28 00:00:00,COMP/USDT,107.00000000,121.20000000,105.30000000,121.00000000,59669.82800000,6711066.72210000,30493
1645920000000,2022-02-27 00:00:00,COMP/USDT,112.90000000,117.80000000,105.20000000,107.10000000,53277.64500000,5926392.35870000,31172
1645833600000,2022-02-26 00:00:00,COMP/USDT,112.90000000,116.30000000,111.60000000,112.60000000,31436.70900000,3584372.39130000,16612
1645747200000,2022-02-25 00:00:00,COMP/USDT,107.50000000,114.40000000,105.80000000,112.90000000,46896.35600000,5171752.58390000,26836
1645660800000,2022-02-24 00:00:00,COMP/USDT,109.00000000,111.30000000,93.30000000,107.60000000,85808.23000000,8659356.80710000,49718
1645574400000,2022-02-23 00:00:00,COMP/USDT,112.70000000,117.90000000,108.80000000,109.10000000,33744.37300000,3847462.91490000,21248
1645488000000,2022-02-22 00:00:00,COMP/USDT,106.00000000,113.20000000,102.40000000,112.70000000,47314.00500000,5122868.46960000,23830
1645401600000,2022-02-21 00:00:00,COMP/USDT,114.80000000,120.00000000,105.20000000,105.90000000,56714.17700000,6414808.13810000,31791
1645315200000,2022-02-20 00:00:00,COMP/USDT,122.40000000,122.40000000,112.20000000,114.70000000,30450.15600000,3526347.28040000,19974
1645228800000,2022-02-19 00:00:00,COMP/USDT,121.20000000,124.70000000,117.90000000,122.40000000,16335.28600000,1989315.78040000,12807
