https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XLM,Volume USDT,tradecount
1650844800000,2022-04-25 00:00:00,XLM/USDT,0.18944,0.19316,0.17857,0.19202,304848381,56270418.76657,205742
1650758400000,2022-04-24 00:00:00,XLM/USDT,0.19120,0.19381,0.18865,0.18945,153964037,29456101.73970,95693
1650672000000,2022-04-23 00:00:00,XLM/USDT,0.19530,0.19746,0.19046,0.19120,163468937,31626839.24938,100282
1650585600000,2022-04-22 00:00:00,XLM/USDT,0.19627,0.19822,0.19358,0.19529,224696474,44039067.64162,158274
1650499200000,2022-04-21 00:00:00,XLM/USDT,0.20021,0.20424,0.19316,0.19626,274367161,54833750.64392,180735
1650412800000,2022-04-20 00:00:00,XLM/USDT,0.20380,0.20767,0.19928,0.20022,284769141,57884047.70291,189699
1650326400000,2022-04-19 00:00:00,XLM/USDT,0.20488,0.20587,0.20000,0.20380,240786750,48974366.85115,162667
1650240000000,2022-04-18 00:00:00,XLM/USDT,0.19640,0.20627,0.18915,0.20486,343265707,67749413.44990,225801
1650153600000,2022-04-17 00:00:00,XLM/USDT,0.20517,0.20692,0.19602,0.19642,186365948,37834963.23681,130735
1650067200000,2022-04-16 00:00:00,XLM/USDT,0.20415,0.20770,0.20170,0.20516,206893376,42429700.78589,143930
1649980800000,2022-04-15 00:00:00,XLM/USDT,0.19382,0.21199,0.19241,0.20411,801165959,164104808.46321,384952
1649894400000,2022-04-14 00:00:00,XLM/USDT,0.19640,0.19944,0.19128,0.19381,200478419,39188964.22423,176896
1649808000000,2022-04-13 00:00:00,XLM/USDT,0.19240,0.19711,0.19039,0.19643,212942613,41265418.66764,190591
1649721600000,2022-04-12 00:00:00,XLM/USDT,0.18647,0.19370,0.18552,0.19240,181097403,34423390.54709,168919
1649635200000,2022-04-11 00:00:00,XLM/USDT,0.20015,0.20097,0.18512,0.18648,296723414,56910386.36747,232746
1649548800000,2022-04-10 00:00:00,XLM/USDT,0.20476,0.20771,0.19968,0.20014,121727642,24887896.15667,133868
1649462400000,2022-04-09 00:00:00,XLM/USDT,0.20183,0.20607,0.20025,0.20472,117530137,23897779.54819,126915
1649376000000,2022-04-08 00:00:00,XLM/USDT,0.21239,0.21371,0.19978,0.20187,251917740,52631314.95161,233900
1649289600000,2022-04-07 00:00:00,XLM/USDT,0.20300,0.21464,0.20030,0.21248,209192575,43696111.79294,214087
1649203200000,2022-04-06 00:00:00,XLM/USDT,0.22482,0.22535,0.20187,0.20303,303612719,64768350.69010,281622
1649116800000,2022-04-05 00:00:00,XLM/USDT,0.23188,0.23413,0.22387,0.22483,182753719,41936937.90454,155457
1649030400000,2022-04-04 00:00:00,XLM/USDT,0.23708,0.23715,0.22624,0.23191,212854271,49391106.20691,181287
1648944000000,2022-04-03 00:00:00,XLM/USDT,0.23322,0.23840,0.23017,0.23708,159276295,37240089.07913,157655
1648857600000,2022-04-02 00:00:00,XLM/USDT,0.23254,0.23751,0.23012,0.23321,223697529,52482024.86264,204055
1648771200000,2022-04-01 00:00:00,XLM/USDT,0.22842,0.23276,0.22087,0.23254,259858699,59143386.59968,235584
1648684800000,2022-03-31 00:00:00,XLM/USDT,0.23473,0.24140,0.22600,0.22841,380207809,89088794.37453,288608
1648598400000,2022-03-30 00:00:00,XLM/USDT,0.23310,0.23763,0.22600,0.23473,248281046,57918292.21237,201427
1648512000000,2022-03-29 00:00:00,XLM/USDT,0.22961,0.23967,0.22860,0.23315,326587826,76621892.24060,242536
1648425600000,2022-03-28 00:00:00,XLM/USDT,0.22962,0.24113,0.22775,0.22951,474314003,111458152.34365,334942
1648339200000,2022-03-27 00:00:00,XLM/USDT,0.21550,0.23136,0.21425,0.22962,337451749,74815029.08477,252957
1648252800000,2022-03-26 00:00:00,XLM/USDT,0.21097,0.21560,0.20884,0.21551,158397251,33603911.30040,155182
