https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DASH,Volume USDT,tradecount
1652572800000,2022-05-15 00:00:00,DASH/USDT,60.89,61.87,60.64,60.82,20483.305,1254215.53411,7071
1652569200000,2022-05-14 23:00:00,DASH/USDT,60.67,61.45,60.12,60.89,26003.280,1583486.64841,6609
1652565600000,2022-05-14 22:00:00,DASH/USDT,59.67,61.26,58.21,60.69,40090.530,2383025.16303,10492
1652562000000,2022-05-14 21:00:00,DASH/USDT,59.97,61.00,59.59,59.67,17055.957,1027685.06496,4462
1652558400000,2022-05-14 20:00:00,DASH/USDT,59.31,60.85,59.27,59.93,13981.289,841389.46447,4701
1652554800000,2022-05-14 19:00:00,DASH/USDT,59.50,59.77,58.94,59.29,13849.029,821526.11643,4413
1652551200000,2022-05-14 18:00:00,DASH/USDT,59.61,60.05,59.19,59.51,17929.384,1068509.78589,6203
1652547600000,2022-05-14 17:00:00,DASH/USDT,58.49,59.85,58.19,59.64,22384.399,1327136.53315,6833
1652544000000,2022-05-14 16:00:00,DASH/USDT,56.11,59.23,55.32,58.48,28754.131,1652929.30072,9448
1652540400000,2022-05-14 15:00:00,DASH/USDT,56.34,56.84,55.83,56.09,14250.147,802830.90048,4092
1652536800000,2022-05-14 14:00:00,DASH/USDT,55.37,56.37,55.10,56.35,18899.963,1055961.55405,5030
1652533200000,2022-05-14 13:00:00,DASH/USDT,55.90,56.23,55.16,55.37,19957.913,1108418.24186,5802
1652529600000,2022-05-14 12:00:00,DASH/USDT,56.26,56.52,55.43,55.88,19405.554,1086473.65589,5822
1652526000000,2022-05-14 11:00:00,DASH/USDT,57.80,58.12,55.69,56.30,35838.629,2023811.60420,9410
1652522400000,2022-05-14 10:00:00,DASH/USDT,59.51,59.51,57.39,57.77,28926.461,1688052.37529,7484
1652518800000,2022-05-14 09:00:00,DASH/USDT,60.03,60.76,59.05,59.48,21767.934,1304170.40707,6735
1652515200000,2022-05-14 08:00:00,DASH/USDT,59.29,60.19,59.15,60.03,14286.060,853150.26688,4103
1652511600000,2022-05-14 07:00:00,DASH/USDT,59.38,59.79,59.16,59.30,9033.843,536977.85421,2951
1652508000000,2022-05-14 06:00:00,DASH/USDT,59.18,59.66,58.48,59.37,9776.131,577748.09655,3445
1652504400000,2022-05-14 05:00:00,DASH/USDT,58.89,59.57,58.56,59.16,9754.156,576501.39080,3721
1652500800000,2022-05-14 04:00:00,DASH/USDT,60.53,60.58,58.65,58.92,13320.285,793110.76563,4103
1652497200000,2022-05-14 03:00:00,DASH/USDT,60.67,60.95,60.07,60.56,9662.007,584105.71811,3571
1652493600000,2022-05-14 02:00:00,DASH/USDT,61.18,61.42,60.56,60.69,10313.413,629100.67455,3948
1652490000000,2022-05-14 01:00:00,DASH/USDT,59.97,61.47,59.63,61.16,13877.261,840991.07456,5021
1652486400000,2022-05-14 00:00:00,DASH/USDT,57.98,60.56,57.64,59.96,23153.669,1371166.06545,7618
