https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ONT,Volume USDT,tradecount
1651622400000,2022-05-04 00:00:00,ONT/USDT,0.45110000,0.49080000,0.44930000,0.49060000,9038079.00000000,4248063.21600000,29793
1651536000000,2022-05-03 00:00:00,ONT/USDT,0.46010000,0.47610000,0.44160000,0.45110000,8212947.00000000,3785872.82560000,25749
1651449600000,2022-05-02 00:00:00,ONT/USDT,0.46550000,0.47160000,0.44140000,0.46000000,9068956.00000000,4146495.16620000,27151
1651363200000,2022-05-01 00:00:00,ONT/USDT,0.43280000,0.46770000,0.42090000,0.46560000,13118666.00000000,5852388.82990000,37326
1651276800000,2022-04-30 00:00:00,ONT/USDT,0.49030000,0.49570000,0.41010000,0.43290000,13448550.00000000,6207956.37110000,39172
1651190400000,2022-04-29 00:00:00,ONT/USDT,0.50870000,0.54410000,0.47940000,0.49030000,21153535.00000000,10830142.23220000,57180
1651104000000,2022-04-28 00:00:00,ONT/USDT,0.51240000,0.51550000,0.49730000,0.50870000,7155561.00000000,3639020.91890000,23726
1651017600000,2022-04-27 00:00:00,ONT/USDT,0.49350000,0.51590000,0.48620000,0.51240000,7503141.00000000,3785322.28880000,26805
1650931200000,2022-04-26 00:00:00,ONT/USDT,0.52100000,0.55240000,0.48300000,0.49340000,17517165.00000000,9209530.57670000,59806
1650844800000,2022-04-25 00:00:00,ONT/USDT,0.52220000,0.52430000,0.47790000,0.52110000,10505442.00000000,5245068.22060000,36166
1650758400000,2022-04-24 00:00:00,ONT/USDT,0.53510000,0.54140000,0.51600000,0.52230000,7118871.00000000,3770911.70240000,24176
1650672000000,2022-04-23 00:00:00,ONT/USDT,0.56090000,0.56200000,0.53260000,0.53500000,12229631.00000000,6706380.55280000,37867
1650585600000,2022-04-22 00:00:00,ONT/USDT,0.52760000,0.61490000,0.52360000,0.56080000,65709056.00000000,37581002.75880000,195122
1650499200000,2022-04-21 00:00:00,ONT/USDT,0.53950000,0.56960000,0.51230000,0.52760000,12470885.00000000,6798432.84130000,45095
1650412800000,2022-04-20 00:00:00,ONT/USDT,0.53990000,0.54860000,0.52220000,0.53970000,8880538.00000000,4762525.21480000,29685
1650326400000,2022-04-19 00:00:00,ONT/USDT,0.52740000,0.54100000,0.51620000,0.53980000,5940144.00000000,3140508.26860000,20446
1650240000000,2022-04-18 00:00:00,ONT/USDT,0.49900000,0.53170000,0.47680000,0.52750000,8899833.00000000,4470430.52060000,28393
1650153600000,2022-04-17 00:00:00,ONT/USDT,0.52350000,0.52870000,0.49730000,0.49900000,4945606.00000000,2554168.01560000,16064
1650067200000,2022-04-16 00:00:00,ONT/USDT,0.51880000,0.53250000,0.50660000,0.52340000,4545715.00000000,2360804.63760000,15408
1649980800000,2022-04-15 00:00:00,ONT/USDT,0.50370000,0.52020000,0.49950000,0.51890000,5091803.00000000,2603659.06800000,15845
1649894400000,2022-04-14 00:00:00,ONT/USDT,0.52080000,0.52640000,0.49530000,0.50370000,6197637.00000000,3159410.22570000,17209
1649808000000,2022-04-13 00:00:00,ONT/USDT,0.50180000,0.52150000,0.49670000,0.52080000,8318981.00000000,4230470.20300000,22767
1649721600000,2022-04-12 00:00:00,ONT/USDT,0.47910000,0.50660000,0.47430000,0.50160000,10303134.00000000,5076697.70030000,31947
1649635200000,2022-04-11 00:00:00,ONT/USDT,0.52410000,0.52750000,0.47140000,0.47930000,14353898.00000000,7121507.61550000,40721
1649548800000,2022-04-10 00:00:00,ONT/USDT,0.54660000,0.55390000,0.52220000,0.52430000,6660667.00000000,3591799.07950000,24810
1649462400000,2022-04-09 00:00:00,ONT/USDT,0.53290000,0.54690000,0.52960000,0.54640000,7852480.00000000,4233774.01400000,26601
1649376000000,2022-04-08 00:00:00,ONT/USDT,0.56830000,0.57360000,0.52600000,0.53350000,15465788.00000000,8510590.39440000,42512
1649289600000,2022-04-07 00:00:00,ONT/USDT,0.55220000,0.57390000,0.54370000,0.56840000,8872841.00000000,4979789.23900000,30015
1649203200000,2022-04-06 00:00:00,ONT/USDT,0.61270000,0.61320000,0.54990000,0.55230000,15423120.00000000,8926920.94290000,50004
1649116800000,2022-04-05 00:00:00,ONT/USDT,0.64030000,0.64680000,0.60930000,0.61270000,7739928.00000000,4875657.26010000,28332
1649030400000,2022-04-04 00:00:00,ONT/USDT,0.67210000,0.67210000,0.61420000,0.64030000,15436995.00000000,9938609.88910000,45419
1648944000000,2022-04-03 00:00:00,ONT/USDT,0.67250000,0.70350000,0.64700000,0.67210000,14999603.00000000,10029311.90330000,50416
1648857600000,2022-04-02 00:00:00,ONT/USDT,0.66660000,0.69320000,0.65500000,0.67270000,15134440.00000000,10249641.70570000,55672
1648771200000,2022-04-01 00:00:00,ONT/USDT,0.65370000,0.66820000,0.61960000,0.66650000,13881920.00000000,8947642.22170000,49202
1648684800000,2022-03-31 00:00:00,ONT/USDT,0.68040000,0.70100000,0.63580000,0.65330000,20952622.00000000,14051210.23040000,76353
1648598400000,2022-03-30 00:00:00,ONT/USDT,0.63550000,0.68100000,0.61300000,0.67970000,16031645.00000000,10479181.84430000,65383
1648512000000,2022-03-29 00:00:00,ONT/USDT,0.61880000,0.68500000,0.61630000,0.63580000,19916007.00000000,12828821.83560000,84634
1648425600000,2022-03-28 00:00:00,ONT/USDT,0.63310000,0.66630000,0.60750000,0.61860000,16167403.00000000,10429552.67150000,69983
1648339200000,2022-03-27 00:00:00,ONT/USDT,0.58380000,0.66420000,0.58270000,0.63290000,43316748.00000000,26806841.19920000,143865
1648252800000,2022-03-26 00:00:00,ONT/USDT,0.55300000,0.58820000,0.54450000,0.58430000,8254898.00000000,4636777.82940000,28089
1648166400000,2022-03-25 00:00:00,ONT/USDT,0.56250000,0.57480000,0.54030000,0.55310000,8220447.00000000,4609260.87800000,31409
1648080000000,2022-03-24 00:00:00,ONT/USDT,0.55540000,0.56560000,0.54010000,0.56260000,8487843.00000000,4701921.55870000,30141
1647993600000,2022-03-23 00:00:00,ONT/USDT,0.53650000,0.55810000,0.52830000,0.55550000,9185250.00000000,5002072.46500000,28885
1647907200000,2022-03-22 00:00:00,ONT/USDT,0.51590000,0.56650000,0.51410000,0.53650000,20388317.00000000,11066797.95510000,60857
1647820800000,2022-03-21 00:00:00,ONT/USDT,0.51340000,0.52710000,0.49990000,0.51600000,10381001.00000000,5349979.57160000,28714
