https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETC,Volume USDT,tradecount
1647907200000,2022-03-22 00:00:00,ETC/USDT,38.386,46.850,38.126,45.852,48602678.66,2098483741.55636,2759572
1647820800000,2022-03-21 00:00:00,ETC/USDT,38.202,39.978,36.099,38.382,40660440.10,1564482962.04873,2154249
1647734400000,2022-03-20 00:00:00,ETC/USDT,34.002,42.000,32.806,38.202,67939716.61,2525759998.17876,3794695
1647648000000,2022-03-19 00:00:00,ETC/USDT,28.048,34.398,28.024,34.010,16004984.58,504229645.70540,921569
1647561600000,2022-03-18 00:00:00,ETC/USDT,27.141,28.299,26.501,28.046,2835158.59,77302991.39670,221433
1647475200000,2022-03-17 00:00:00,ETC/USDT,27.357,27.530,26.724,27.140,2379613.12,64568151.27718,204322
1647388800000,2022-03-16 00:00:00,ETC/USDT,25.839,27.576,25.674,27.357,4225178.94,111568658.65052,318060
1647302400000,2022-03-15 00:00:00,ETC/USDT,25.911,26.261,25.101,25.839,2385608.24,61231998.38151,178739
1647216000000,2022-03-14 00:00:00,ETC/USDT,25.335,26.118,24.985,25.911,2942848.39,75475180.77173,196657
1647129600000,2022-03-13 00:00:00,ETC/USDT,26.273,26.666,25.096,25.341,2485108.02,64679658.80762,185064
1647043200000,2022-03-12 00:00:00,ETC/USDT,26.461,27.021,26.215,26.269,2643997.54,70296779.94737,208188
1646956800000,2022-03-11 00:00:00,ETC/USDT,26.660,26.982,25.940,26.462,3503804.68,92619322.07652,279602
1646870400000,2022-03-10 00:00:00,ETC/USDT,28.050,28.655,26.090,26.659,4109659.29,110369673.73263,308489
1646784000000,2022-03-09 00:00:00,ETC/USDT,26.721,28.734,26.489,28.055,4209016.85,117058278.67637,332120
1646697600000,2022-03-08 00:00:00,ETC/USDT,26.095,26.955,25.926,26.718,3985595.31,105302875.16354,298278
1646611200000,2022-03-07 00:00:00,ETC/USDT,26.537,27.456,25.216,26.095,4101208.48,108291884.27083,303741
1646524800000,2022-03-06 00:00:00,ETC/USDT,27.816,28.070,26.442,26.533,2943800.69,79982280.37995,238074
1646438400000,2022-03-05 00:00:00,ETC/USDT,27.585,28.077,26.618,27.816,3080904.32,84497304.86370,251402
1646352000000,2022-03-04 00:00:00,ETC/USDT,30.203,30.954,26.928,27.585,5589738.00,161396104.74090,414591
1646265600000,2022-03-03 00:00:00,ETC/USDT,29.506,31.555,28.917,30.203,7660205.20,231555034.15648,569670
1646179200000,2022-03-02 00:00:00,ETC/USDT,30.322,30.584,29.063,29.505,3797594.44,113339314.27871,298888
1646092800000,2022-03-01 00:00:00,ETC/USDT,30.481,31.431,29.400,30.321,4870428.18,147486447.20236,388056
1646006400000,2022-02-28 00:00:00,ETC/USDT,27.335,30.751,26.853,30.483,4575593.05,129255741.95768,335406
1645920000000,2022-02-27 00:00:00,ETC/USDT,28.875,29.248,26.850,27.343,4541514.18,127581689.68251,338093
1645833600000,2022-02-26 00:00:00,ETC/USDT,27.974,31.076,27.830,28.878,5437922.67,157583730.66980,399969
1645747200000,2022-02-25 00:00:00,ETC/USDT,26.487,28.429,25.890,27.969,4599262.04,123696299.63584,314209
1645660800000,2022-02-24 00:00:00,ETC/USDT,26.514,27.282,23.270,26.484,10787178.70,269898691.29850,664803
1645574400000,2022-02-23 00:00:00,ETC/USDT,26.647,28.147,26.196,26.517,5433547.92,147852535.91633,323206
1645488000000,2022-02-22 00:00:00,ETC/USDT,24.960,26.858,24.400,26.650,6003960.37,154924079.37092,383418
1645401600000,2022-02-21 00:00:00,ETC/USDT,27.236,28.392,24.737,24.969,7598834.24,203896747.43707,440814
1645315200000,2022-02-20 00:00:00,ETC/USDT,28.690,28.733,26.786,27.235,5072272.34,139697911.16075,314828
1645228800000,2022-02-19 00:00:00,ETC/USDT,28.916,29.212,27.611,28.689,4166097.61,118667577.61564,270541
1645142400000,2022-02-18 00:00:00,ETC/USDT,29.425,30.400,28.189,28.914,5274630.14,154680934.09251,343023
1645056000000,2022-02-17 00:00:00,ETC/USDT,32.209,32.621,28.877,29.425,5258450.62,162285784.27423,375397
1644969600000,2022-02-16 00:00:00,ETC/USDT,33.450,33.463,31.409,32.209,4381263.56,141917725.75052,323733
1644883200000,2022-02-15 00:00:00,ETC/USDT,31.373,33.657,31.102,33.452,6193626.22,202522572.31363,425852
1644796800000,2022-02-14 00:00:00,ETC/USDT,32.466,33.287,30.352,31.372,8444075.37,269010890.49586,553327
1644710400000,2022-02-13 00:00:00,ETC/USDT,31.666,34.093,31.447,32.465,10184134.19,335493853.53142,644045
1644624000000,2022-02-12 00:00:00,ETC/USDT,32.668,33.384,31.033,31.673,8824371.96,282627399.54323,588105
1644537600000,2022-02-11 00:00:00,ETC/USDT,34.351,37.500,31.824,32.669,16767126.22,596983863.42054,980551
1644451200000,2022-02-10 00:00:00,ETC/USDT,33.778,37.035,33.460,34.353,15114884.42,535651572.25946,877810
1644364800000,2022-02-09 00:00:00,ETC/USDT,32.047,34.870,31.246,33.775,9701868.00,325946994.30071,581685
1644278400000,2022-02-08 00:00:00,ETC/USDT,32.634,33.238,30.317,32.050,5945098.35,188274769.61456,430112
1644192000000,2022-02-07 00:00:00,ETC/USDT,29.869,33.170,29.288,32.645,6794415.97,216462822.75679,429462
1644105600000,2022-02-06 00:00:00,ETC/USDT,29.362,30.202,28.800,29.872,3240616.04,95716197.50188,251556
1644019200000,2022-02-05 00:00:00,ETC/USDT,29.684,29.940,28.671,29.368,4379632.27,128562274.08303,344989
1643932800000,2022-02-04 00:00:00,ETC/USDT,27.884,29.822,27.381,29.663,5849268.59,166136064.02347,361552
1643846400000,2022-02-03 00:00:00,ETC/USDT,26.264,28.120,25.626,27.889,6184297.07,164941162.57636,379782
1643760000000,2022-02-02 00:00:00,ETC/USDT,26.760,28.472,26.152,26.258,9022137.50,249153325.28663,529867
1643673600000,2022-02-01 00:00:00,ETC/USDT,25.646,26.897,25.381,26.767,3077767.76,80307271.57141,214334
1643587200000,2022-01-31 00:00:00,ETC/USDT,24.898,25.714,23.954,25.640,2919287.80,72433777.01564,226170
1643500800000,2022-01-30 00:00:00,ETC/USDT,25.322,25.857,24.520,24.898,2710170.39,68408148.63838,195738
1643414400000,2022-01-29 00:00:00,ETC/USDT,25.133,25.696,24.724,25.318,2416292.37,60984020.91712,181527
1643328000000,2022-01-28 00:00:00,ETC/USDT,24.280,25.230,23.861,25.134,3662528.42,89637615.81549,273247
1643241600000,2022-01-27 00:00:00,ETC/USDT,24.302,24.741,23.297,24.271,3774210.15,90647901.91351,253619
1643155200000,2022-01-26 00:00:00,ETC/USDT,24.012,26.412,23.562,24.300,4734904.28,117121346.77465,329142
1643068800000,2022-01-25 00:00:00,ETC/USDT,24.072,24.276,23.211,24.009,3823146.49,90821176.85334,255990
1642982400000,2022-01-24 00:00:00,ETC/USDT,25.098,25.109,21.601,24.082,7968453.85,183812953.61855,455154
1642896000000,2022-01-23 00:00:00,ETC/USDT,24.170,25.259,23.488,25.099,5333428.64,129827556.05969,299865
1642809600000,2022-01-22 00:00:00,ETC/USDT,25.892,26.442,21.170,24.156,10874810.70,258898211.47137,624361
1642723200000,2022-01-21 00:00:00,ETC/USDT,29.328,29.674,25.148,25.904,8517818.83,236343437.08209,547990
1642636800000,2022-01-20 00:00:00,ETC/USDT,31.276,31.990,29.026,29.329,5538449.67,170514735.06968,374818
1642550400000,2022-01-19 00:00:00,ETC/USDT,32.637,34.700,31.246,31.276,13461800.55,441116031.53831,713104
1642464000000,2022-01-18 00:00:00,ETC/USDT,30.960,34.168,30.652,32.634,12670247.19,411699856.51314,654268
1642377600000,2022-01-17 00:00:00,ETC/USDT,32.264,32.368,30.460,30.957,2371437.69,73990909.41521,191349
1642291200000,2022-01-16 00:00:00,ETC/USDT,32.810,32.833,31.902,32.256,1947494.56,62962224.61785,167256
1642204800000,2022-01-15 00:00:00,ETC/USDT,31.945,33.373,31.776,32.811,3591266.25,117350414.74492,254398
1642118400000,2022-01-14 00:00:00,ETC/USDT,30.242,33.456,30.036,31.947,6485559.63,208067112.74300,396557
1642032000000,2022-01-13 00:00:00,ETC/USDT,31.143,31.900,30.063,30.249,2735950.87,84801471.04799,208945
1641945600000,2022-01-12 00:00:00,ETC/USDT,29.646,31.221,29.500,31.136,2194350.53,66705190.37447,187995
1641859200000,2022-01-11 00:00:00,ETC/USDT,28.460,30.027,28.345,29.641,3227509.98,94315912.82130,230057
1641772800000,2022-01-10 00:00:00,ETC/USDT,29.732,30.042,27.200,28.462,4273605.51,121977741.35881,294433
1641686400000,2022-01-09 00:00:00,ETC/USDT,29.328,30.250,29.089,29.734,2286648.95,67933306.49483,177407
1641600000000,2022-01-08 00:00:00,ETC/USDT,30.449,31.029,28.311,29.321,3372128.36,100252550.09425,252143
1641513600000,2022-01-07 00:00:00,ETC/USDT,31.597,31.726,29.131,30.449,4280039.30,129995701.84362,313928
1641427200000,2022-01-06 00:00:00,ETC/USDT,31.921,32.106,30.622,31.592,3034884.28,95208412.96262,233649
1641340800000,2022-01-05 00:00:00,ETC/USDT,34.120,34.810,30.354,31.912,3614754.59,119912159.12913,261601
1641254400000,2022-01-04 00:00:00,ETC/USDT,34.709,35.012,33.794,34.119,2017414.61,69584873.45368,164180
1641168000000,2022-01-03 00:00:00,ETC/USDT,35.370,35.373,34.130,34.702,1801008.97,62774308.93283,157276
1641081600000,2022-01-02 00:00:00,ETC/USDT,34.861,35.873,34.274,35.369,1730020.82,60584195.70141,151677
1640995200000,2022-01-01 00:00:00,ETC/USDT,34.057,34.901,34.040,34.862,1487997.03,51266030.55434,155967
1640908800000,2021-12-31 00:00:00,ETC/USDT,34.556,35.625,33.388,34.051,2551926.46,88260048.39073,248486
1640822400000,2021-12-30 00:00:00,ETC/USDT,34.113,35.060,33.451,34.552,2341694.84,80449757.72898,211710
1640736000000,2021-12-29 00:00:00,ETC/USDT,34.898,35.453,33.705,34.115,2718923.81,94415518.38139,234675
1640649600000,2021-12-28 00:00:00,ETC/USDT,37.592,37.596,34.504,34.900,3443293.05,123548408.68381,345543
1640563200000,2021-12-27 00:00:00,ETC/USDT,37.912,38.694,37.500,37.598,2086772.10,79643728.73943,206442
1640476800000,2021-12-26 00:00:00,ETC/USDT,38.049,38.326,36.895,37.908,2217511.03,83296505.77125,224097
1640390400000,2021-12-25 00:00:00,ETC/USDT,37.398,38.758,37.127,38.050,2307257.01,87794323.76254,245162
1640304000000,2021-12-24 00:00:00,ETC/USDT,37.517,38.403,36.952,37.387,3042696.95,114916197.61747,258160
1640217600000,2021-12-23 00:00:00,ETC/USDT,35.664,37.688,35.130,37.514,2756866.98,100379585.90713,289641
1640131200000,2021-12-22 00:00:00,ETC/USDT,35.304,36.489,35.105,35.668,2273778.58,81569501.01001,242986
1640044800000,2021-12-21 00:00:00,ETC/USDT,34.524,35.518,34.307,35.309,1976306.58,69233227.65503,190843
1639958400000,2021-12-20 00:00:00,ETC/USDT,34.829,35.417,33.466,34.527,3048604.44,104648939.63780,278237
1639872000000,2021-12-19 00:00:00,ETC/USDT,35.017,36.300,34.715,34.828,2257480.29,79589435.00050,215004
1639785600000,2021-12-18 00:00:00,ETC/USDT,34.273,35.505,33.751,35.008,1945998.58,67844714.82849,216239
1639699200000,2021-12-17 00:00:00,ETC/USDT,35.133,35.472,33.242,34.257,2821788.81,97305662.17706,289051
1639612800000,2021-12-16 00:00:00,ETC/USDT,36.100,36.775,35.010,35.139,2638192.34,95140754.19470,258630
1639526400000,2021-12-15 00:00:00,ETC/USDT,35.377,36.615,33.202,36.099,4489277.08,157410565.86549,380246
1639440000000,2021-12-14 00:00:00,ETC/USDT,34.187,36.467,33.672,35.376,4315570.82,150596893.81045,370507
1639353600000,2021-12-13 00:00:00,ETC/USDT,37.865,38.086,33.527,34.187,3721510.92,132655557.74720,357984
1639267200000,2021-12-12 00:00:00,ETC/USDT,37.973,38.356,36.705,37.870,1930041.83,72663403.46222,196695
1639180800000,2021-12-11 00:00:00,ETC/USDT,36.338,38.289,35.566,37.978,3436622.01,128441291.54856,302289
1639094400000,2021-12-10 00:00:00,ETC/USDT,37.487,38.900,36.158,36.326,3926976.07,147422822.69972,363329
1639008000000,2021-12-09 00:00:00,ETC/USDT,40.935,41.326,37.342,37.492,3442131.31,134819297.46521,365471
1638921600000,2021-12-08 00:00:00,ETC/USDT,39.589,41.833,38.722,40.937,5418377.15,219452702.40914,509966
1638835200000,2021-12-07 00:00:00,ETC/USDT,39.296,40.449,38.629,39.589,3944266.94,155675469.25900,409496
1638748800000,2021-12-06 00:00:00,ETC/USDT,38.798,39.860,35.058,39.297,7183769.79,268145589.04861,613442
1638662400000,2021-12-05 00:00:00,ETC/USDT,39.249,40.700,36.602,38.791,7176683.30,277976600.61044,643138
1638576000000,2021-12-04 00:00:00,ETC/USDT,44.829,45.010,27.756,39.245,15145376.21,552776888.23128,1022354
1638489600000,2021-12-03 00:00:00,ETC/USDT,47.060,47.824,42.649,44.831,3689395.41,169411199.64624,366696
1638403200000,2021-12-02 00:00:00,ETC/USDT,47.846,47.889,46.312,47.065,2067491.62,97579139.96658,265605
1638316800000,2021-12-01 00:00:00,ETC/USDT,48.329,49.593,47.039,47.842,2925451.27,142202249.15222,320882
1638230400000,2021-11-30 00:00:00,ETC/USDT,48.235,50.094,46.818,48.324,3923700.89,190230931.50326,402784
1638144000000,2021-11-29 00:00:00,ETC/USDT,47.508,48.972,47.029,48.228,2513979.03,120220626.66869,299932
1638057600000,2021-11-28 00:00:00,ETC/USDT,46.771,47.550,44.410,47.507,2631362.34,121043018.15403,343811
1637971200000,2021-11-27 00:00:00,ETC/USDT,46.642,47.709,46.347,46.771,2052738.17,96542952.71297,278371
1637884800000,2021-11-26 00:00:00,ETC/USDT,50.605,50.735,44.289,46.656,6954066.80,326597830.15847,630209
1637798400000,2021-11-25 00:00:00,ETC/USDT,48.300,53.554,47.932,50.605,6854560.97,351212359.83499,637477
1637712000000,2021-11-24 00:00:00,ETC/USDT,49.589,49.800,47.139,48.302,2579954.18,124532005.42836,306833
1637625600000,2021-11-23 00:00:00,ETC/USDT,48.614,49.910,47.853,49.582,2703060.37,132723459.75934,319980
1637539200000,2021-11-22 00:00:00,ETC/USDT,50.461,50.557,47.726,48.615,3484851.37,171059626.59412,383754
1637452800000,2021-11-21 00:00:00,ETC/USDT,51.090,51.830,49.925,50.461,2531776.37,128523197.40396,302705
1637366400000,2021-11-20 00:00:00,ETC/USDT,50.651,51.335,49.085,51.084,2646347.72,133409225.24433,302058
1637280000000,2021-11-19 00:00:00,ETC/USDT,48.432,50.844,47.774,50.646,3291002.23,163311351.44547,365363
1637193600000,2021-11-18 00:00:00,ETC/USDT,51.224,51.771,46.755,48.426,4990103.34,245633469.93627,526303
1637107200000,2021-11-17 00:00:00,ETC/USDT,50.789,51.489,49.067,51.211,3368941.21,170016774.23489,395274
1637020800000,2021-11-16 00:00:00,ETC/USDT,54.843,54.848,46.800,50.784,8243604.60,422051993.34614,766260
1636934400000,2021-11-15 00:00:00,ETC/USDT,56.212,56.800,54.205,54.849,3506760.30,195388403.42123,369534
