https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DASH,Volume USDT,tradecount
1648339200000,2022-03-27 00:00:00,DASH/USDT,128.12,133.28,124.73,132.84,315960.732,40610126.02512,175137
1648252800000,2022-03-26 00:00:00,DASH/USDT,126.16,131.89,125.33,128.11,496633.816,63908643.69606,250339
1648166400000,2022-03-25 00:00:00,DASH/USDT,129.90,132.50,121.60,126.16,541126.163,68891003.28119,257787
1648080000000,2022-03-24 00:00:00,DASH/USDT,129.73,134.02,123.42,129.88,668319.660,85801127.16006,307330
1647993600000,2022-03-23 00:00:00,DASH/USDT,130.69,138.88,126.43,129.74,1039532.919,136840224.35496,454910
1647907200000,2022-03-22 00:00:00,DASH/USDT,123.49,132.86,121.25,130.66,1066564.605,136548256.43609,414087
1647820800000,2022-03-21 00:00:00,DASH/USDT,115.70,124.07,112.10,123.48,1563266.236,185548762.10255,620942
1647734400000,2022-03-20 00:00:00,DASH/USDT,102.91,118.18,101.10,115.65,1528694.548,170699902.10233,582325
1647648000000,2022-03-19 00:00:00,DASH/USDT,98.65,104.74,98.59,102.91,334105.913,33925462.41239,147800
1647561600000,2022-03-18 00:00:00,DASH/USDT,96.28,99.54,92.92,98.66,334394.271,32100071.44978,136752
1647475200000,2022-03-17 00:00:00,DASH/USDT,98.33,100.44,96.04,96.30,257692.652,25219685.99293,110962
1647388800000,2022-03-16 00:00:00,DASH/USDT,95.08,99.86,94.20,98.33,334812.093,32347635.59805,159134
1647302400000,2022-03-15 00:00:00,DASH/USDT,98.11,98.38,92.71,95.07,301177.935,28794965.95232,136335
1647216000000,2022-03-14 00:00:00,DASH/USDT,93.66,98.82,92.03,98.11,402792.632,38257133.00229,170225
1647129600000,2022-03-13 00:00:00,DASH/USDT,99.06,102.93,91.78,93.67,482249.717,47141454.00251,210226
1647043200000,2022-03-12 00:00:00,DASH/USDT,94.86,101.08,94.76,99.08,442464.766,43248407.73485,168942
1646956800000,2022-03-11 00:00:00,DASH/USDT,104.57,104.64,94.69,94.86,732916.386,73543533.89873,263687
1646870400000,2022-03-10 00:00:00,DASH/USDT,99.70,105.47,92.77,104.57,1109190.005,110678183.54528,406393
1646784000000,2022-03-09 00:00:00,DASH/USDT,96.25,101.76,95.32,99.69,789496.012,78278201.13962,280360
1646697600000,2022-03-08 00:00:00,DASH/USDT,85.73,97.39,85.18,96.25,463411.404,41824274.12350,193280
1646611200000,2022-03-07 00:00:00,DASH/USDT,85.57,90.48,83.39,85.75,317607.702,27502948.49229,129876
1646524800000,2022-03-06 00:00:00,DASH/USDT,89.57,90.65,84.73,85.57,238574.072,20862166.71357,111667
1646438400000,2022-03-05 00:00:00,DASH/USDT,89.47,90.28,86.60,89.58,186073.829,16514616.56330,89827
1646352000000,2022-03-04 00:00:00,DASH/USDT,96.66,97.02,87.68,89.45,298332.418,27786691.85462,133300
1646265600000,2022-03-03 00:00:00,DASH/USDT,100.78,102.86,94.73,96.67,359736.889,35606144.38236,165527
1646179200000,2022-03-02 00:00:00,DASH/USDT,99.99,103.65,96.58,100.77,329340.256,32891351.40655,149001
1646092800000,2022-03-01 00:00:00,DASH/USDT,100.48,102.95,96.41,99.98,315729.008,31520761.84270,146623
1646006400000,2022-02-28 00:00:00,DASH/USDT,88.17,100.60,86.49,100.47,303374.097,28211457.69776,127827
1645920000000,2022-02-27 00:00:00,DASH/USDT,93.67,95.46,86.06,88.16,270436.691,24634509.70709,118011
1645833600000,2022-02-26 00:00:00,DASH/USDT,92.59,96.03,91.49,93.67,211421.793,19764853.85161,108716
1645747200000,2022-02-25 00:00:00,DASH/USDT,87.75,94.07,85.99,92.60,329243.116,29484533.75806,131894
