https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LINK,Volume USDT,tradecount
1652742000000,2022-05-16 23:00:00,LINK/USDT,7.502,7.514,7.376,7.418,803663.25,5981371.63009,18749
1652738400000,2022-05-16 22:00:00,LINK/USDT,7.579,7.611,7.482,7.503,888822.37,6719617.37486,19376
1652734800000,2022-05-16 21:00:00,LINK/USDT,7.481,7.608,7.459,7.579,726409.20,5477876.96232,15855
1652731200000,2022-05-16 20:00:00,LINK/USDT,7.390,7.483,7.371,7.480,428498.48,3185535.69968,11021
1652727600000,2022-05-16 19:00:00,LINK/USDT,7.457,7.490,7.353,7.391,551814.23,4094219.43635,14389
1652724000000,2022-05-16 18:00:00,LINK/USDT,7.402,7.489,7.380,7.458,582811.48,4343131.88533,14942
1652720400000,2022-05-16 17:00:00,LINK/USDT,7.263,7.451,7.247,7.402,1011667.73,7451468.07421,20231
1652716800000,2022-05-16 16:00:00,LINK/USDT,7.342,7.385,7.220,7.265,1065722.49,7773993.82131,25415
1652713200000,2022-05-16 15:00:00,LINK/USDT,7.257,7.366,7.205,7.342,944285.78,6888547.59728,20284
1652709600000,2022-05-16 14:00:00,LINK/USDT,7.286,7.407,7.231,7.259,1107389.70,8113482.28963,26816
1652706000000,2022-05-16 13:00:00,LINK/USDT,7.402,7.490,7.237,7.286,1875447.76,13754806.79019,37693
1652702400000,2022-05-16 12:00:00,LINK/USDT,7.354,7.538,7.251,7.403,1706415.08,12625195.68472,35276
1652698800000,2022-05-16 11:00:00,LINK/USDT,7.477,7.486,7.345,7.353,650879.45,4815040.41489,17302
1652695200000,2022-05-16 10:00:00,LINK/USDT,7.233,7.502,7.152,7.476,1125499.36,8272765.22463,28468
1652691600000,2022-05-16 09:00:00,LINK/USDT,7.355,7.355,7.200,7.234,875176.37,6359271.79609,21966
1652688000000,2022-05-16 08:00:00,LINK/USDT,7.290,7.389,7.276,7.356,683328.35,5022309.78530,15331
1652684400000,2022-05-16 07:00:00,LINK/USDT,7.232,7.319,7.161,7.290,1113833.18,8048106.91487,23761
1652680800000,2022-05-16 06:00:00,LINK/USDT,7.507,7.507,7.222,7.232,1520387.12,11125239.39340,32569
1652677200000,2022-05-16 05:00:00,LINK/USDT,7.520,7.571,7.474,7.508,391468.33,2950112.97555,9071
1652673600000,2022-05-16 04:00:00,LINK/USDT,7.564,7.564,7.456,7.520,655050.10,4915441.18035,16043
1652670000000,2022-05-16 03:00:00,LINK/USDT,7.588,7.598,7.479,7.564,855011.30,6444765.78891,14915
1652666400000,2022-05-16 02:00:00,LINK/USDT,7.667,7.672,7.551,7.588,868197.01,6592679.88782,16016
1652662800000,2022-05-16 01:00:00,LINK/USDT,7.788,7.815,7.622,7.666,1132616.74,8714856.44047,20216
1652659200000,2022-05-16 00:00:00,LINK/USDT,7.959,7.963,7.767,7.788,870088.02,6825613.19878,20160
1652655600000,2022-05-15 23:00:00,LINK/USDT,7.832,7.985,7.815,7.960,575589.26,4533602.69203,12879
1652652000000,2022-05-15 22:00:00,LINK/USDT,7.793,7.966,7.793,7.830,1017653.02,8031929.43653,21955
1652648400000,2022-05-15 21:00:00,LINK/USDT,7.794,7.824,7.714,7.793,462956.52,3590456.80413,10967
1652644800000,2022-05-15 20:00:00,LINK/USDT,7.699,7.839,7.665,7.789,989639.50,7692659.82918,23308
1652641200000,2022-05-15 19:00:00,LINK/USDT,7.682,7.710,7.572,7.701,704769.32,5385468.16943,14259
1652637600000,2022-05-15 18:00:00,LINK/USDT,7.578,7.728,7.550,7.682,809342.90,6181679.31923,19225
1652634000000,2022-05-15 17:00:00,LINK/USDT,7.603,7.645,7.548,7.577,518152.99,3938895.54116,12680
1652630400000,2022-05-15 16:00:00,LINK/USDT,7.525,7.659,7.494,7.604,681862.52,5166988.98973,16308
1652626800000,2022-05-15 15:00:00,LINK/USDT,7.584,7.671,7.463,7.527,1232323.43,9323587.04290,21469
1652623200000,2022-05-15 14:00:00,LINK/USDT,7.446,7.630,7.344,7.584,1575002.57,11804300.83630,25365
1652619600000,2022-05-15 13:00:00,LINK/USDT,7.526,7.544,7.425,7.446,659891.03,4938588.43449,13541
1652616000000,2022-05-15 12:00:00,LINK/USDT,7.562,7.637,7.501,7.526,1366902.23,10351186.79949,24846
1652612400000,2022-05-15 11:00:00,LINK/USDT,7.296,7.574,7.220,7.562,1024762.91,7591236.73510,20121
1652608800000,2022-05-15 10:00:00,LINK/USDT,7.203,7.300,7.132,7.293,480556.03,3461690.82608,10283
1652605200000,2022-05-15 09:00:00,LINK/USDT,7.138,7.224,7.101,7.203,430488.04,3083548.76982,10090
1652601600000,2022-05-15 08:00:00,LINK/USDT,7.242,7.261,7.126,7.137,508434.93,3656923.92760,14116
1652598000000,2022-05-15 07:00:00,LINK/USDT,7.315,7.375,7.204,7.242,541418.34,3944356.84469,11812
1652594400000,2022-05-15 06:00:00,LINK/USDT,7.276,7.325,7.225,7.311,659073.09,4792779.90730,12075
1652590800000,2022-05-15 05:00:00,LINK/USDT,7.105,7.293,7.085,7.273,474622.79,3417807.32022,11492
1652587200000,2022-05-15 04:00:00,LINK/USDT,7.100,7.153,7.047,7.106,381982.15,2715973.17476,9245
1652583600000,2022-05-15 03:00:00,LINK/USDT,7.072,7.118,7.006,7.100,441334.40,3112724.13874,9903
1652580000000,2022-05-15 02:00:00,LINK/USDT,7.177,7.228,7.033,7.071,605700.19,4303995.54172,12588
1652576400000,2022-05-15 01:00:00,LINK/USDT,7.211,7.217,7.117,7.177,496181.93,3553614.91934,11246
1652572800000,2022-05-15 00:00:00,LINK/USDT,7.248,7.361,7.200,7.211,1134383.76,8253491.72071,22194
1652569200000,2022-05-14 23:00:00,LINK/USDT,7.267,7.320,7.179,7.246,732659.70,5309691.99252,19155
1652565600000,2022-05-14 22:00:00,LINK/USDT,7.183,7.321,7.104,7.267,765146.41,5511364.97253,18851
1652562000000,2022-05-14 21:00:00,LINK/USDT,7.017,7.246,6.978,7.183,547186.02,3904465.04304,12624
1652558400000,2022-05-14 20:00:00,LINK/USDT,6.983,7.109,6.971,7.016,498156.53,3511081.32311,10966
1652554800000,2022-05-14 19:00:00,LINK/USDT,7.027,7.068,6.941,6.980,491839.17,3441584.71967,10899
1652551200000,2022-05-14 18:00:00,LINK/USDT,7.038,7.138,7.013,7.024,925191.57,6546987.20385,19441
1652547600000,2022-05-14 17:00:00,LINK/USDT,6.975,7.051,6.930,7.037,800976.59,5600302.66395,18340
1652544000000,2022-05-14 16:00:00,LINK/USDT,6.666,7.085,6.635,6.974,1740881.36,11971545.82755,37371
1652540400000,2022-05-14 15:00:00,LINK/USDT,6.715,6.800,6.649,6.665,781218.71,5244852.97381,16950
1652536800000,2022-05-14 14:00:00,LINK/USDT,6.661,6.726,6.624,6.715,702856.27,4691305.89388,16456
1652533200000,2022-05-14 13:00:00,LINK/USDT,6.790,6.807,6.639,6.660,968798.67,6494124.32594,21638
1652529600000,2022-05-14 12:00:00,LINK/USDT,6.779,6.844,6.710,6.791,686171.80,4650515.60942,14686
1652526000000,2022-05-14 11:00:00,LINK/USDT,6.847,6.891,6.697,6.777,1416940.68,9597014.68802,28203
1652522400000,2022-05-14 10:00:00,LINK/USDT,6.997,6.998,6.814,6.845,937255.50,6474993.33075,20715
1652518800000,2022-05-14 09:00:00,LINK/USDT,7.083,7.127,6.951,6.998,598535.09,4211889.30843,14751
1652515200000,2022-05-14 08:00:00,LINK/USDT,7.012,7.136,6.987,7.081,754050.47,5326714.37949,15127
1652511600000,2022-05-14 07:00:00,LINK/USDT,7.066,7.124,6.962,7.012,734564.49,5174983.18246,16425
1652508000000,2022-05-14 06:00:00,LINK/USDT,7.133,7.163,7.036,7.066,644665.36,4575838.51787,15076
1652504400000,2022-05-14 05:00:00,LINK/USDT,7.057,7.160,7.021,7.133,656063.22,4654679.80166,13422
1652500800000,2022-05-14 04:00:00,LINK/USDT,7.276,7.283,7.012,7.057,753529.00,5369197.50002,16094
1652497200000,2022-05-14 03:00:00,LINK/USDT,7.269,7.355,7.189,7.276,475963.77,3457175.78443,12122
1652493600000,2022-05-14 02:00:00,LINK/USDT,7.349,7.385,7.234,7.271,632706.21,4631005.31081,15888
1652490000000,2022-05-14 01:00:00,LINK/USDT,7.228,7.440,7.137,7.349,954449.55,6992781.80887,24401
