https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LUNA,Volume USDT,tradecount
1652310000000,2022-05-11 23:00:00,LUNA/USDT,1.08190000,1.15670000,1.02220000,1.07690000,105615558.84000000,113401918.21418800,269820
1652306400000,2022-05-11 22:00:00,LUNA/USDT,1.08560000,1.53510000,1.02100000,1.08190000,188663982.25000000,227979270.85882100,528096
1652302800000,2022-05-11 21:00:00,LUNA/USDT,1.05060000,1.20000000,1.00330000,1.08560000,145117230.00000000,154712734.77333700,384783
1652299200000,2022-05-11 20:00:00,LUNA/USDT,1.21930000,1.38000000,1.00090000,1.05060000,120160925.96000000,136879797.78891000,359902
1652295600000,2022-05-11 19:00:00,LUNA/USDT,1.35500000,1.39870000,1.07000000,1.21930000,165381636.37000000,199594638.15220300,495963
1652292000000,2022-05-11 18:00:00,LUNA/USDT,1.77250000,1.85560000,1.25010000,1.35290000,119493876.11000000,189138406.34340700,474010
1652288400000,2022-05-11 17:00:00,LUNA/USDT,2.26350000,2.34400000,1.50000000,1.77560000,155401364.78000000,290017508.53635200,703155
1652284800000,2022-05-11 16:00:00,LUNA/USDT,2.38620000,2.64260000,2.00500000,2.26330000,147503592.73000000,336836741.39177000,835610
1652281200000,2022-05-11 15:00:00,LUNA/USDT,4.08740000,4.10000000,2.01000000,2.38760000,259576239.36000000,662428931.94311500,1274420
1652277600000,2022-05-11 14:00:00,LUNA/USDT,2.79980000,7.78000000,2.76430000,4.08740000,313211422.99000000,1339850706.65081400,2003562
1652274000000,2022-05-11 13:00:00,LUNA/USDT,0.73020000,3.24090000,0.73000000,2.79980000,309241696.35000000,555530385.00625800,1070726
1652270400000,2022-05-11 12:00:00,LUNA/USDT,1.60000000,1.97000000,0.69000000,0.73020000,145228765.38000000,173913940.65666570,443247
1652266800000,2022-05-11 11:00:00,LUNA/USDT,2.79000000,2.87000000,1.59000000,1.59000000,80825617.35700000,170398733.87106500,388251
1652263200000,2022-05-11 10:00:00,LUNA/USDT,4.01000000,4.79000000,2.47000000,2.79000000,61768179.94500000,208870239.15678300,431967
1652259600000,2022-05-11 09:00:00,LUNA/USDT,5.83000000,5.87000000,3.45000000,4.02000000,44546620.60000000,195375983.99492700,396313
1652256000000,2022-05-11 08:00:00,LUNA/USDT,5.71000000,7.29000000,5.11000000,5.82000000,38720242.68000000,229924403.15210000,452240
1652252400000,2022-05-11 07:00:00,LUNA/USDT,6.31000000,7.29000000,4.12000000,5.71000000,45230223.01500000,241304958.20760800,539325
1652248800000,2022-05-11 06:00:00,LUNA/USDT,9.37000000,9.68000000,6.12000000,6.30000000,25444481.05200000,203022063.94515500,466368
1652245200000,2022-05-11 05:00:00,LUNA/USDT,10.50000000,12.09000000,8.73000000,9.37000000,25856978.75100000,263143212.05380700,553027
1652241600000,2022-05-11 04:00:00,LUNA/USDT,13.59000000,14.20000000,10.35000000,10.51000000,18570725.41600000,218837651.20061400,482284
1652238000000,2022-05-11 03:00:00,LUNA/USDT,15.48000000,15.92000000,13.10000000,13.59000000,11929953.60000000,168205615.70950000,365756
1652234400000,2022-05-11 02:00:00,LUNA/USDT,14.46000000,16.13000000,13.00000000,15.48000000,15230228.92000000,225117424.92275000,446217
