https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume NEO,Volume USDT,tradecount
1653098400000,2022-05-21 02:00:00,NEO/USDT,10.034,10.203,9.988,10.177,82772.19,836495.72909,4487
1653094800000,2022-05-21 01:00:00,NEO/USDT,10.153,10.181,9.946,10.027,128292.56,1288810.75112,5685
1653091200000,2022-05-21 00:00:00,NEO/USDT,10.111,10.229,10.023,10.155,117752.32,1194582.53511,5392
1653087600000,2022-05-20 23:00:00,NEO/USDT,10.097,10.240,10.065,10.110,70825.78,717401.49924,3621
1653084000000,2022-05-20 22:00:00,NEO/USDT,10.054,10.187,10.032,10.093,35873.26,363133.28011,2297
1653080400000,2022-05-20 21:00:00,NEO/USDT,10.027,10.137,10.026,10.051,51914.15,524073.58641,2405
1653076800000,2022-05-20 20:00:00,NEO/USDT,10.139,10.239,9.988,10.028,80741.79,815950.68284,4393
1653073200000,2022-05-20 19:00:00,NEO/USDT,10.000,10.168,9.967,10.138,91706.37,922525.54143,4473
1653069600000,2022-05-20 18:00:00,NEO/USDT,10.046,10.046,9.906,10.000,69886.50,697347.42843,3982
1653066000000,2022-05-20 17:00:00,NEO/USDT,9.999,10.055,9.921,10.046,102736.42,1026244.15720,4679
1653062400000,2022-05-20 16:00:00,NEO/USDT,10.093,10.101,9.862,10.003,136209.81,1360808.04754,7950
1653058800000,2022-05-20 15:00:00,NEO/USDT,10.255,10.255,10.050,10.093,127616.77,1292373.72113,7506
1653055200000,2022-05-20 14:00:00,NEO/USDT,10.527,10.537,10.217,10.256,127875.81,1321445.23936,7213
1653051600000,2022-05-20 13:00:00,NEO/USDT,10.481,10.605,10.408,10.523,91218.39,957998.19964,5591
1653048000000,2022-05-20 12:00:00,NEO/USDT,10.716,10.740,10.417,10.482,68619.01,725032.47776,4294
1653044400000,2022-05-20 11:00:00,NEO/USDT,10.659,10.783,10.570,10.714,113604.64,1214913.84164,5535
1653040800000,2022-05-20 10:00:00,NEO/USDT,10.588,10.665,10.547,10.665,51828.63,549394.61516,3141
1653037200000,2022-05-20 09:00:00,NEO/USDT,10.479,10.620,10.444,10.588,51507.67,543946.80007,3249
1653033600000,2022-05-20 08:00:00,NEO/USDT,10.459,10.573,10.427,10.476,67727.87,711251.65201,4713
1653030000000,2022-05-20 07:00:00,NEO/USDT,10.382,10.510,10.300,10.461,59059.99,614426.96484,3435
1653026400000,2022-05-20 06:00:00,NEO/USDT,10.487,10.497,10.262,10.383,87267.01,904528.75387,4380
1653022800000,2022-05-20 05:00:00,NEO/USDT,10.379,10.495,10.304,10.486,58117.05,603921.21504,3788
1653019200000,2022-05-20 04:00:00,NEO/USDT,10.480,10.575,10.324,10.383,59342.33,620415.12076,3253
1653015600000,2022-05-20 03:00:00,NEO/USDT,10.596,10.610,10.460,10.477,35592.48,373816.18941,2468
1653012000000,2022-05-20 02:00:00,NEO/USDT,10.671,10.677,10.548,10.600,41589.90,441195.68542,2653
1653008400000,2022-05-20 01:00:00,NEO/USDT,10.563,10.797,10.474,10.673,103624.69,1102018.08464,5626
1653004800000,2022-05-20 00:00:00,NEO/USDT,10.508,10.602,10.386,10.567,93838.59,985267.84916,5901
1653001200000,2022-05-19 23:00:00,NEO/USDT,10.317,10.605,10.314,10.507,91284.38,954852.31552,4829
1652997600000,2022-05-19 22:00:00,NEO/USDT,10.299,10.314,10.201,10.314,54647.50,560586.00732,3035
1652994000000,2022-05-19 21:00:00,NEO/USDT,10.391,10.443,10.294,10.300,50084.81,519459.26147,2107
1652990400000,2022-05-19 20:00:00,NEO/USDT,10.249,10.404,10.222,10.393,45683.30,471419.29155,2724
1652986800000,2022-05-19 19:00:00,NEO/USDT,10.406,10.440,10.241,10.244,54945.09,567133.65111,3279
1652983200000,2022-05-19 18:00:00,NEO/USDT,10.442,10.510,10.362,10.400,54822.06,571664.21623,3366
1652979600000,2022-05-19 17:00:00,NEO/USDT,10.456,10.527,10.337,10.443,51176.56,533695.44271,3127
1652976000000,2022-05-19 16:00:00,NEO/USDT,10.553,10.588,10.412,10.456,93263.39,979426.22667,5678
1652972400000,2022-05-19 15:00:00,NEO/USDT,10.334,10.662,10.277,10.554,137821.76,1447132.24280,7122
1652968800000,2022-05-19 14:00:00,NEO/USDT,10.219,10.417,10.215,10.329,125104.19,1291233.70007,6759
1652965200000,2022-05-19 13:00:00,NEO/USDT,10.100,10.369,10.099,10.217,135278.27,1383074.27346,7242
1652961600000,2022-05-19 12:00:00,NEO/USDT,10.184,10.227,10.053,10.100,110239.46,1116366.04028,5390
1652958000000,2022-05-19 11:00:00,NEO/USDT,9.871,10.246,9.801,10.180,112900.13,1133317.82464,5824
1652954400000,2022-05-19 10:00:00,NEO/USDT,9.797,9.911,9.720,9.867,62619.92,615366.14829,3638
1652950800000,2022-05-19 09:00:00,NEO/USDT,9.800,9.859,9.680,9.791,54346.78,531519.93781,3521
1652947200000,2022-05-19 08:00:00,NEO/USDT,9.992,10.009,9.796,9.801,82502.27,817873.14459,4656
1652943600000,2022-05-19 07:00:00,NEO/USDT,10.122,10.126,9.947,9.998,57138.06,573577.91540,3220
1652940000000,2022-05-19 06:00:00,NEO/USDT,9.841,10.128,9.841,10.120,67673.86,675726.00608,4011
1652936400000,2022-05-19 05:00:00,NEO/USDT,9.912,9.950,9.829,9.837,31761.83,314074.89300,2008
1652932800000,2022-05-19 04:00:00,NEO/USDT,9.957,10.088,9.912,9.913,49519.31,495223.54862,3252
1652929200000,2022-05-19 03:00:00,NEO/USDT,9.908,10.035,9.893,9.957,72799.01,726058.55309,4662
1652925600000,2022-05-19 02:00:00,NEO/USDT,9.636,9.925,9.520,9.918,160125.81,1554399.45684,9302
1652922000000,2022-05-19 01:00:00,NEO/USDT,9.942,10.062,9.597,9.632,115336.99,1134761.98351,6440
1652918400000,2022-05-19 00:00:00,NEO/USDT,9.881,10.062,9.802,9.940,96722.01,961941.54051,6809
1652914800000,2022-05-18 23:00:00,NEO/USDT,10.070,10.125,9.813,9.878,99915.68,989943.56941,6059
1652911200000,2022-05-18 22:00:00,NEO/USDT,10.078,10.194,10.020,10.071,67448.47,681394.04120,3982
1652907600000,2022-05-18 21:00:00,NEO/USDT,10.129,10.173,10.031,10.075,35177.30,355745.22478,2243
1652904000000,2022-05-18 20:00:00,NEO/USDT,10.184,10.200,10.021,10.130,55352.88,559502.92747,3212
1652900400000,2022-05-18 19:00:00,NEO/USDT,10.043,10.237,10.037,10.189,87766.16,891175.74654,4864
1652896800000,2022-05-18 18:00:00,NEO/USDT,10.003,10.092,9.924,10.041,68516.52,687115.36816,4124
1652893200000,2022-05-18 17:00:00,NEO/USDT,10.113,10.115,9.951,9.997,78470.07,788081.74410,4530
