https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume NEAR,Volume USDT,tradecount
1653094800000,2022-05-21 01:00:00,NEAR/USDT,5.74600000,5.76000000,5.61400000,5.71200000,528250.80000000,2998147.39700000,12132
1653091200000,2022-05-21 00:00:00,NEAR/USDT,5.75100000,5.80900000,5.66300000,5.74500000,440907.40000000,2531918.60320000,10811
1653087600000,2022-05-20 23:00:00,NEAR/USDT,5.80900000,5.88900000,5.72400000,5.75200000,410962.30000000,2389821.58820000,9126
1653084000000,2022-05-20 22:00:00,NEAR/USDT,5.76800000,5.87100000,5.75000000,5.80800000,263861.20000000,1536652.71980000,6534
1653080400000,2022-05-20 21:00:00,NEAR/USDT,5.80300000,5.83500000,5.76400000,5.76700000,106287.70000000,617207.92740000,2898
1653076800000,2022-05-20 20:00:00,NEAR/USDT,5.82400000,5.88000000,5.76400000,5.80400000,236809.40000000,1379502.13150000,6425
1653073200000,2022-05-20 19:00:00,NEAR/USDT,5.71600000,5.84200000,5.70000000,5.82400000,276801.10000000,1598834.09860000,7863
1653069600000,2022-05-20 18:00:00,NEAR/USDT,5.75600000,5.75600000,5.67000000,5.71600000,257602.00000000,1469590.02690000,7123
1653066000000,2022-05-20 17:00:00,NEAR/USDT,5.73700000,5.78600000,5.69100000,5.75500000,478726.10000000,2742970.49610000,11279
1653062400000,2022-05-20 16:00:00,NEAR/USDT,5.70500000,5.79800000,5.63700000,5.73800000,1018633.10000000,5822878.23940000,21495
1653058800000,2022-05-20 15:00:00,NEAR/USDT,5.79200000,5.79200000,5.67100000,5.70600000,923521.60000000,5287156.00680000,21220
1653055200000,2022-05-20 14:00:00,NEAR/USDT,6.03100000,6.03700000,5.76400000,5.79000000,966039.70000000,5661742.15030000,22069
1653051600000,2022-05-20 13:00:00,NEAR/USDT,5.98500000,6.06400000,5.91900000,6.03300000,745305.00000000,4469622.36190000,17514
1653048000000,2022-05-20 12:00:00,NEAR/USDT,6.09400000,6.11500000,5.94000000,5.98600000,655278.50000000,3946083.76400000,12444
1653044400000,2022-05-20 11:00:00,NEAR/USDT,6.11000000,6.15000000,6.00600000,6.09400000,506742.20000000,3085171.47670000,11442
1653040800000,2022-05-20 10:00:00,NEAR/USDT,6.04300000,6.12600000,6.02600000,6.11000000,513889.80000000,3124515.31340000,10517
1653037200000,2022-05-20 09:00:00,NEAR/USDT,5.97700000,6.09600000,5.93200000,6.04200000,381936.20000000,2300656.61320000,9144
1653033600000,2022-05-20 08:00:00,NEAR/USDT,5.93400000,6.02700000,5.91000000,5.97700000,432576.40000000,2588710.10020000,9204
1653030000000,2022-05-20 07:00:00,NEAR/USDT,5.90400000,5.99300000,5.86600000,5.93500000,557138.70000000,3306792.87270000,12406
