https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume QTUM,Volume USDT,tradecount
1650240000000,2022-04-18 00:00:00,QTUM/USDT,6.511,6.706,6.144,6.679,4524823.1,28979494.2151,116991
1650153600000,2022-04-17 00:00:00,QTUM/USDT,6.886,6.922,6.485,6.513,3793262.7,25684657.4408,100542
1650067200000,2022-04-16 00:00:00,QTUM/USDT,6.604,7.300,6.598,6.887,17052672.5,118547528.9830,263260
1649980800000,2022-04-15 00:00:00,QTUM/USDT,6.543,6.739,6.502,6.603,2807042.0,18586287.5123,88451
1649894400000,2022-04-14 00:00:00,QTUM/USDT,6.761,6.936,6.388,6.544,3271145.4,21799285.1570,111427
1649808000000,2022-04-13 00:00:00,QTUM/USDT,6.431,6.770,6.335,6.760,4641085.4,30426274.6266,141424
1649721600000,2022-04-12 00:00:00,QTUM/USDT,6.194,6.561,6.117,6.430,3490271.7,22174767.1928,120160
1649635200000,2022-04-11 00:00:00,QTUM/USDT,6.801,6.892,6.045,6.194,5456254.3,34966858.6075,150530
1649548800000,2022-04-10 00:00:00,QTUM/USDT,7.066,7.164,6.776,6.803,2894920.0,20192651.0025,108026
1649462400000,2022-04-09 00:00:00,QTUM/USDT,6.802,7.106,6.795,7.067,2146478.1,14958412.4442,92052
1649376000000,2022-04-08 00:00:00,QTUM/USDT,7.227,7.334,6.750,6.803,3081597.3,21893415.8314,115175
1649289600000,2022-04-07 00:00:00,QTUM/USDT,6.906,7.291,6.825,7.228,4412162.0,31347886.4573,143203
1649203200000,2022-04-06 00:00:00,QTUM/USDT,7.801,7.805,6.868,6.906,7387962.1,53854726.4676,240043
1649116800000,2022-04-05 00:00:00,QTUM/USDT,8.243,8.323,7.762,7.795,7492418.9,59976978.5594,207667
1649030400000,2022-04-04 00:00:00,QTUM/USDT,8.508,8.512,7.945,8.242,6346810.7,52149600.7300,194569
1648944000000,2022-04-03 00:00:00,QTUM/USDT,8.307,8.608,8.115,8.506,3964121.3,33292451.6654,154558
1648857600000,2022-04-02 00:00:00,QTUM/USDT,8.438,9.352,8.243,8.304,17412905.4,152847322.5425,461209
1648771200000,2022-04-01 00:00:00,QTUM/USDT,8.276,8.507,7.856,8.443,4265410.3,35104970.3170,147333
1648684800000,2022-03-31 00:00:00,QTUM/USDT,8.875,9.189,8.135,8.277,8127931.2,70759269.3422,231109
1648598400000,2022-03-30 00:00:00,QTUM/USDT,8.343,9.642,8.200,8.873,17179739.3,154041217.5071,386552
1648512000000,2022-03-29 00:00:00,QTUM/USDT,8.169,8.890,8.075,8.344,11414136.1,97108349.1946,302761
1648425600000,2022-03-28 00:00:00,QTUM/USDT,8.481,8.685,8.026,8.171,8839097.3,74791175.2347,221412
1648339200000,2022-03-27 00:00:00,QTUM/USDT,8.231,8.509,8.030,8.481,7659161.0,63744869.9194,195877
1648252800000,2022-03-26 00:00:00,QTUM/USDT,8.284,8.355,8.044,8.231,6481358.3,53246281.5437,175357
1648166400000,2022-03-25 00:00:00,QTUM/USDT,7.867,8.892,7.720,8.285,28789742.1,242623925.1871,598017
1648080000000,2022-03-24 00:00:00,QTUM/USDT,7.875,8.035,7.464,7.865,11822381.7,90904225.4736,294098
1647993600000,2022-03-23 00:00:00,QTUM/USDT,7.595,8.310,7.593,7.875,25723141.9,205253846.6529,528734
1647907200000,2022-03-22 00:00:00,QTUM/USDT,6.839,7.710,6.784,7.595,14218915.7,104267865.3823,327663
1647820800000,2022-03-21 00:00:00,QTUM/USDT,6.964,7.050,6.574,6.839,7542409.5,51119572.3181,200809
1647734400000,2022-03-20 00:00:00,QTUM/USDT,6.343,7.344,6.335,6.964,30409586.4,211630491.4937,590164
1647648000000,2022-03-19 00:00:00,QTUM/USDT,6.113,6.374,6.112,6.343,3108803.0,19411839.8925,94641
1647561600000,2022-03-18 00:00:00,QTUM/USDT,5.927,6.141,5.811,6.111,2870973.9,17101616.3829,73135
