,symbol,date,open,date_delta,clusterLabel
40,AAVE/USDT,2022-04-12,157.9,83.0,-1
41,AAVE/USDT,2022-04-11,176.3,82.0,344
42,AAVE/USDT,2022-04-10,184.9,81.0,-1
43,AAVE/USDT,2022-04-09,183.3,80.0,-1
44,AAVE/USDT,2022-04-08,202.2,79.0,-1
45,AAVE/USDT,2022-04-07,191.2,78.0,-1
46,AAVE/USDT,2022-04-06,221.1,77.0,353
47,AAVE/USDT,2022-04-05,237.9,76.0,355
48,AAVE/USDT,2022-04-04,243.0,75.0,355
49,AAVE/USDT,2022-04-03,238.1,74.0,355
50,AAVE/USDT,2022-04-02,244.5,73.0,-1
51,AAVE/USDT,2022-04-01,207.0,72.0,-1
52,AAVE/USDT,2022-03-31,223.3,71.0,353
53,AAVE/USDT,2022-03-30,222.9,70.0,353
54,AAVE/USDT,2022-03-29,167.7,69.0,350
55,AAVE/USDT,2022-03-28,169.2,68.0,350
56,AAVE/USDT,2022-03-27,163.4,67.0,350
57,AAVE/USDT,2022-03-26,162.5,66.0,350
58,AAVE/USDT,2022-03-25,168.1,65.0,350
59,AAVE/USDT,2022-03-24,156.0,64.0,354
60,AAVE/USDT,2022-03-23,152.9,63.0,354
61,AAVE/USDT,2022-03-22,153.9,62.0,354
62,AAVE/USDT,2022-03-21,152.7,61.0,354
63,AAVE/USDT,2022-03-20,157.2,60.0,354
64,AAVE/USDT,2022-03-19,160.2,59.0,354
65,AAVE/USDT,2022-03-18,155.6,58.0,354
66,AAVE/USDT,2022-03-17,141.7,57.0,-1
67,AAVE/USDT,2022-03-16,122.0,56.0,-1
68,AAVE/USDT,2022-03-15,118.3,55.0,-1
69,AAVE/USDT,2022-03-14,115.6,54.0,-1
70,AAVE/USDT,2022-03-13,120.4,53.0,-1
71,AAVE/USDT,2022-03-12,116.7,52.0,-1
72,AAVE/USDT,2022-03-11,119.2,51.0,-1
73,AAVE/USDT,2022-03-10,127.5,50.0,-1
74,AAVE/USDT,2022-03-09,121.7,49.0,-1
