           symbol       date          open  date_delta  clusterLabel
95      AAVE/USDT 2022-02-16    172.300000        28.0           346
96      AAVE/USDT 2022-02-15    161.000000        27.0           348
97      AAVE/USDT 2022-02-14    158.100000        26.0           348
98      AAVE/USDT 2022-02-13    162.500000        25.0           348
99      AAVE/USDT 2022-02-12    163.700000        24.0            -1
100     AAVE/USDT 2022-02-11    175.300000        23.0           346
101     AAVE/USDT 2022-02-10    188.000000        22.0           347
102     AAVE/USDT 2022-02-09    184.100000        21.0           347
103     AAVE/USDT 2022-02-08    182.300000        20.0           347
104     AAVE/USDT 2022-02-07    173.600000        19.0            -1
105     AAVE/USDT 2022-02-06    166.200000        18.0            -1
106     AAVE/USDT 2022-02-05    166.800000        17.0            -1
107     AAVE/USDT 2022-02-04    153.000000        16.0            -1
108     AAVE/USDT 2022-02-03    151.200000        15.0            -1
109     AAVE/USDT 2022-02-02    163.800000        14.0            -1
110     AAVE/USDT 2022-02-01    157.500000        13.0            -1
111     AAVE/USDT 2022-01-31    149.000000        12.0            -1
112     AAVE/USDT 2022-01-30    154.000000        11.0            -1
113     AAVE/USDT 2022-01-29    149.000000        10.0            -1
114     AAVE/USDT 2022-01-28    144.600000         9.0            35
115     AAVE/USDT 2022-01-27    146.400000         8.0            35
116     AAVE/USDT 2022-01-26    151.800000         7.0            -1
117     AAVE/USDT 2022-01-25    152.400000         6.0            -1
118     AAVE/USDT 2022-01-24    158.500000         5.0            -1
119     AAVE/USDT 2022-01-23    147.100000         4.0            -1
120     AAVE/USDT 2022-01-22    170.900000         3.0            -1
121     AAVE/USDT 2022-01-21    198.300000         2.0            -1
122     AAVE/USDT 2022-01-20    210.400000         1.0            -1
123     AAVE/USDT 2022-01-19    232.400000         0.0            -1
584      ADA/USDT 2022-05-22      0.528200       123.0            97
585      ADA/USDT 2022-05-21      0.515900       122.0            94
586      ADA/USDT 2022-05-20      0.533100       121.0            93
587      ADA/USDT 2022-05-19      0.505900       120.0            91
588      ADA/USDT 2022-05-18      0.577100       119.0            89
589      ADA/USDT 2022-05-17      0.556600       118.0            87
590      ADA/USDT 2022-05-16      0.597700       117.0            85
591      ADA/USDT 2022-05-15      0.537100       116.0            83
592      ADA/USDT 2022-05-14      0.528500       115.0            81
593      ADA/USDT 2022-05-13      0.473100       114.0            76
594      ADA/USDT 2022-05-12      0.517700       113.0            79
595      ADA/USDT 2022-05-11      0.628100       112.0            99
596      ADA/USDT 2022-05-10      0.601100       111.0           101
597      ADA/USDT 2022-05-09      0.740000       110.0           103
598      ADA/USDT 2022-05-08      0.759800       109.0           105
599      ADA/USDT 2022-05-07      0.782800       108.0           106
600      ADA/USDT 2022-05-06      0.787600       107.0           109
601      ADA/USDT 2022-05-05      0.898400       106.0            -1
602      ADA/USDT 2022-05-04      0.770500       105.0           112
603      ADA/USDT 2022-05-03      0.780400       104.0           114
604      ADA/USDT 2022-05-02      0.788800       103.0           117
605      ADA/USDT 2022-05-01      0.754800       102.0           119
606      ADA/USDT 2022-04-30      0.804600       101.0           121
607      ADA/USDT 2022-04-29      0.843000       100.0           123
608      ADA/USDT 2022-04-28      0.840000        99.0           124
609      ADA/USDT 2022-04-27      0.825300        98.0           126
610      ADA/USDT 2022-04-26      0.897100        97.0           129
611      ADA/USDT 2022-04-25      0.885100        96.0           131
612      ADA/USDT 2022-04-24      0.886400        95.0           132
613      ADA/USDT 2022-04-23      0.905300        94.0           135
614      ADA/USDT 2022-04-22      0.908800        93.0           137
615      ADA/USDT 2022-04-21      0.936000        92.0           139
616      ADA/USDT 2022-04-20      0.952200        91.0           141
