bitcoin-gold	21.41	2022-05-28 00:41:43.950298	99
bora	0.4303492	2022-05-28 00:41:44.276115	100
chads-vc	0.0220353	2022-05-28 00:42:02.780514	1505
leeds-united-fan-token	1.0424746	2022-05-28 00:42:03.027253	1504
topbidder	0.1594071	2022-05-28 00:42:03.280998	1503
portugal-national-team-fan-token	0.5144082	2022-05-28 00:42:03.708405	1503
buying-com	0.0233041	2022-05-28 00:42:04.044742	1510
titan-coin	0.001125	2022-05-28 00:42:04.307997	1505
silva-token	&lt;0.0000001	2022-05-28 00:42:04.618133	1508
peri-finance	0.120204	2022-05-28 00:42:04.868680	1507
carvertical	0.0001367	2022-05-28 00:42:05.320638	1505
coinmerge-bsc-token	0.0002153	2022-05-28 00:42:05.639948	1511
bankerdoge	0.0015846	2022-05-28 00:42:05.970755	1532
lendingblock	0.0012486	2022-05-28 00:42:06.212489	1513
amepay	0.0042861	2022-05-28 00:42:06.470239	1493
quark	0.0035055	2022-05-28 00:42:06.951689	1517
yeticoin	&lt;0.0000001	2022-05-28 00:42:07.201429	1559
global-social-chain	0.0020634	2022-05-28 00:42:07.455659	1519
nucleus-vision	0.000136	2022-05-28 00:42:07.709890	1512
definer	0.0089621	2022-05-28 00:42:08.146308	1516
sirin-labs-token	0.0019781	2022-05-28 00:42:08.467114	1518
goldcoin	0.0220371	2022-05-28 00:42:08.732945	1520
raven-protocol	0.000214	2022-05-28 00:42:08.984679	1519
ethereum-gold-project	0.0001616	2022-05-28 00:42:09.221416	1523
raze-network	0.008202	2022-05-28 00:42:09.549743	1517
statera	0.0121613	2022-05-28 00:42:09.808484	1519
evrynet	0.0236953	2022-05-28 00:42:10.261296	1523
dragon-kart	0.0620346	2022-05-28 00:42:10.588140	1526
pumapay	0.00003	2022-05-28 00:42:10.827350	1524
paypie	0.0114277	2022-05-28 00:42:11.071084	1528
zloadr	0.1716072	2022-05-28 00:42:11.310308	1530
flamengo-fan-token	0.301364	2022-05-28 00:42:11.645119	1520
dinox	0.0267733	2022-05-28 00:42:12.083147	1539
tixl-new	0.0155219	2022-05-28 00:42:12.405910	1498
superlauncher	0.2269618	2022-05-28 00:42:12.656657	1531
monero-v	0.3451075	2022-05-28 00:42:12.963936	1533
swerve	0.0547935	2022-05-28 00:42:13.210160	1531
experience-chain	0.0000103	2022-05-28 00:42:13.449891	1527
prosper	0.201493	2022-05-28 00:42:13.712122	1544
amond	0.0011568	2022-05-28 00:42:14.156066	1546
troneuroperewardcoin	0.0030998	2022-05-28 00:42:14.410803	1535
nextdao	0.000382	2022-05-28 00:42:14.653539	1548
bitball	0.0014958	2022-05-28 00:42:14.900377	1541
okcash	0.0106775	2022-05-28 00:42:15.145178	1537
curate	0.1069107	2022-05-28 00:42:15.393420	1542
q-dao-governance-token	3.2934567	2022-05-28 00:42:15.644655	1550
parkingo	0.044301	2022-05-28 00:42:15.889899	1543
golos-blockchain	0.0029965	2022-05-28 00:42:16.138639	1544
sumokoin	0.0201044	2022-05-28 00:42:16.380382	1540
corra-finance	0.5893333	2022-05-28 00:42:16.626606	1548
mochimo	0.060026	2022-05-28 00:42:16.873337	1557
digital-insurance-token	0.0040643	2022-05-28 00:42:17.118083	1539
polytrade	0.0720604	2022-05-28 00:42:17.374836	1552
cornichon	0.0583059	2022-05-28 00:42:17.613553	1559
sc-corinthians-fan-token	0.3622139	2022-05-28 00:42:17.959915	1553
rhythm	0.0000813	2022-05-28 00:42:18.198645	1553
bistroo	0.0196086	2022-05-28 00:42:18.452382	1556
bobs-repair	0.0028716	2022-05-28 00:42:18.702616	1724
crowny	0.0018316	2022-05-28 00:42:18.958864	1559
ubxs	0.0948922	2022-05-28 00:42:19.340217	1563
lanacoin	0.0002889	2022-05-28 00:42:19.610463	1560
iot-chain	0.0101221	2022-05-28 00:42:20.119462	1552
kanadecoin	0.0001534	2022-05-28 00:42:20.370207	1564
polis	0.0851199	2022-05-28 00:42:20.619433	1566
bitcoinpos	0.1355889	2022-05-28 00:42:21.026825	1605
vision-game	0.0153721	2022-05-28 00:42:21.272075	1570
istanbul-basaksehir-fan-token	1.2871398	2022-05-28 00:42:21.512807	1593
kampay	0.0024959	2022-05-28 00:42:21.830102	1576
esbc	0.0267836	2022-05-28 00:42:22.193483	1565
thekey	0.0001327	2022-05-28 00:42:22.434731	1572
nft	0.0222706	2022-05-28 00:42:22.676463	1569
mind-music	&lt;0.0000001	2022-05-28 00:42:23.099366	1569
